Name;Male;Female;Imagine;Real;Big;Little;Live;Dead;Animal;Human;Bird;Robot;Musician;Political;Actor;Videobloger;Game person;TechMan;Sings;Comic;Reviews;Wizard;Streamer;Writer;Dev;Superhero;Villain;Disney;Dream Works;"""Univer"" series";"""Kick Butowski"" series";"""Harry Potter"" movies";"""Phineas & Ferb"" series";"""Winx"" series";"""Voronin's"" series";"""The Lord of the Rings"" movies";"""Daddy's doughters"" series";"""Chip & Dale"" series";Aged;"""Luntic"" series";Russian propogandist
Маркус Персон;true;false;false;true;true;false;true;false;false;true;false;false;false;false;false;false;false;true;false;false;false;false;false;false;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false
Елена Малышева;false;true;false;true;true;false;true;false;false;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;true;false;false
Дмитрий Масленников;true;false;false;true;true;false;true;false;false;true;false;false;false;false;false;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false
Никола Тесла;true;false;false;true;true;false;false;true;false;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;true;false;false;false;false;false;false;false;false;false;false;false;false;false;true;false;false
Махатма Ганди;true;false;false;true;true;false;false;true;false;true;false;false;false;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;true;false;false
Илья Варламов;true;false;false;true;true;false;true;false;false;true;false;false;false;false;false;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false
Дэниел Рэдклифф;true;false;false;true;true;false;true;false;false;true;false;false;false;false;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false
Ума Турман;false;true;false;true;true;false;true;false;false;true;false;false;false;false;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false
Майли Сайрус;false;true;false;true;true;false;true;false;false;true;false;false;true;false;true;false;false;false;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false
Дэвид Скоперфильд;true;false;false;true;true;false;true;false;false;true;false;false;false;false;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false
