Male|ваш персонаж мужского пола
Female|ваш персонаж женского пола
Imagine|ваш персонаж вымышленный
Real|ваш персонаж существует в реальном мире
Big|ваш персонаж большой
Little|ваш персонаж маленький
Live|ваш персонаж живой
Dead|ваш персонаж умер
Animal|ваш персонаж животное
Human|ваш персонаж человек
Bird|ваш персонаж птица
Robot|ваш персонаж является роботом
Musician|ваш персонаж музыкант
Political|ваш персонаж занимается политикой
Actor|ваш персонаж играет роли
Videobloger|ваш персонаж ведет видеоблог
Game person|ваш персонаж из компьютерной игры
TechMan|ваш персонаж как-то связан с техникой
Sings|ваш персонаж умеет петь
Comic|ваш персонаж может рассмешить людей
Reviews|ваш персонаж снимает обзоры
Wizard|ваш персонаж умеет колдовать
Streamer|ваш персонаж проводит трансляции
Writer|ваш персонаж пишет произведения
Dev|ваш персонаж разрабатывает какое-либо приложение или технику
Superhero|ваш персонаж супергерой
Villain|ваш персонаж злодей
Disney|вы загадали диснеевского персонажа
Dream Works|вы загадали персонажа студии дрим воркс
Univer series|ваш персонаж есть в сериале Универ
Kick Butowski series|ваш персонаж есть в мультсериале Кик Бутовски
Harry Potter movies|ваш персонаж есть в серии фильмов Гарри Поттер
Phineas & Ferb series|ваш персонаж есть в мультсериале Финес и Ферб
Winx series|ваш персонаж есть в мультсериале Винкс
Voronin's series|ваш персонаж есть в сериале Воронины
The Lord of the Rings movies|ваш персонаж есть в серии фильмов Властелин колец
Daddy's doughters series|ваш персонаж есть в сериале Папины дочки
Chip & Dale series|ваш персонаж есть в мультсериале Чип и Дэйл
Aged|ваш персонаж пожилой
Luntic series|ваш персонаж есть в мультсериале Лунтик
Propogandist|ваш перснаж пропагандист
FNAF games|ваш персонаж есть в играх Пять ночей с Фредди
Yellow|ваш персонаж желтого цвета
TV presenter|ваш персонаж телеведущий
Dark skin|ваш персонаж темнокожий
Coco animated film|ваш персонаж из мультфильма Тайна Коко
Purple|ваш персонаж фиолетового цвета
Mascot|ваш персонаж является маскотом
Strong|Ваш персонаж сильный
TMNT series|ваш персонаж есть в сериале Черепашки ниндзя
Incredible animation|ваш персонаж есть в мультфильме Суперсемейка
Scooby-Doo series|ваш персонаж из сриала Скуби-Ду
Griffins series|ваш перснаж из сериала Гриффины
Resident evil 8 game|ваш персонаж из игры Resident evil 8
Kid cartoon|ваш персонаж из детского мультика
Music group|вы загадали музыкальную группу
